Datetime, probe1, probe2, probe3
6/14/2013 21:25:54.161, 20.0, 25.0, 16.0
6/14/2013 21:25:54.188, 19.98055, 24.938326, 16.032705
6/14/2013 21:25:54.223, 20.033775, 24.854816, 16.062511
6/14/2013 21:25:55.256, 20.133715, 24.806744, 16.07647
6/14/2013 21:25:55.290, 20.117983, 24.754728, 16.0569
6/14/2013 21:25:55.323, 20.215015, 24.705576, 16.053917
6/14/2013 21:25:55.356, 20.25277, 24.690994, 16.123465
6/14/2013 21:25:55.390, 20.264196, 24.613585, 16.153387
6/14/2013 21:25:55.423, 20.274323, 24.589582, 16.15359
6/14/2013 21:25:55.456, 20.319473, 24.549963, 16.2424
6/14/2013 21:25:55.491, 20.307222, 24.522305, 16.291904
6/14/2013 21:25:55.523, 20.31962, 24.540419, 16.359652
6/14/2013 21:25:55.557, 20.30718, 24.532862, 16.444035
6/14/2013 21:25:55.589, 20.356342, 24.48772, 16.481
6/14/2013 21:25:55.623, 20.398859, 24.405165, 16.530699
6/14/2013 21:25:55.656, 20.483057, 24.422253, 16.628162
6/14/2013 21:25:55.689, 20.543255, 24.331251, 16.71331
6/14/2013 21:25:55.723, 20.60815, 24.245419, 16.72348
6/14/2013 21:25:55.756, 20.66692, 24.20236, 16.72797
6/14/2013 21:25:55.790, 20.735022, 24.174683, 16.72383
6/14/2013 21:25:55.823, 20.83349, 24.151468, 16.796001
6/14/2013 21:25:55.857, 20.871967, 24.077564, 16.884995
6/14/2013 21:25:55.890, 20.894697, 23.988188, 16.885117
6/14/2013 21:25:55.923, 20.944717, 23.891758, 16.891024
6/14/2013 21:25:55.957, 20.94679, 23.806976, 16.98078
6/14/2013 21:25:55.990, 20.976885, 23.79938, 17.080706
6/14/2013 21:25:55.1023, 20.972301, 23.746944, 17.106382
6/14/2013 21:25:55.1057, 21.039896, 23.651651, 17.14682
6/14/2013 21:25:55.1090, 21.116074, 23.593735, 17.149115
6/14/2013 21:25:55.28, 21.210472, 23.518848, 17.240976
6/14/2013 21:25:55.61, 21.27718, 23.421597, 17.2557
6/14/2013 21:25:55.96, 21.262787, 23.347517, 17.296259
6/14/2013 21:25:55.129, 21.283064, 23.275099, 17.364687
6/14/2013 21:25:56.162, 21.270723, 23.193998, 17.448874
6/14/2013 21:25:56.197, 21.260761, 23.174082, 17.440254
6/14/2013 21:25:56.228, 21.32719, 23.077702, 17.427204
6/14/2013 21:25:56.263, 21.321398, 23.019995, 17.422146
6/14/2013 21:25:56.295, 21.331175, 22.934534, 17.5052
6/14/2013 21:25:56.328, 21.364536, 22.8396, 17.514374
6/14/2013 21:25:56.361, 21.357435, 22.74355, 17.578201
6/14/2013 21:25:56.395, 21.42156, 22.70891, 17.610434
6/14/2013 21:25:56.429, 21.464767, 22.705105, 17.706703
6/14/2013 21:25:56.462, 21.545311, 22.684586, 17.796963
6/14/2013 21:25:56.496, 21.548864, 22.69861, 17.85388
6/14/2013 21:25:56.528, 21.580305, 22.689732, 17.928877
6/14/2013 21:25:56.562, 21.56641, 22.621899, 17.987335
6/14/2013 21:25:56.594, 21.594898, 22.557247, 18.046843
6/14/2013 21:25:56.629, 21.595, 22.55041, 18.128174
6/14/2013 21:25:56.662, 21.579086, 22.49004, 18.194593
6/14/2013 21:25:56.695, 21.655344, 22.441599, 18.285408
6/14/2013 21:25:56.729, 21.683098, 22.429914, 18.315735
6/14/2013 21:25:56.763, 21.665556, 22.419739, 18.39111
6/14/2013 21:25:56.795, 21.657818, 22.321522, 18.40489
6/14/2013 21:25:56.828, 21.734978, 22.231066, 18.405817
6/14/2013 21:25:56.861, 21.832203, 22.163364, 18.427135
6/14/2013 21:25:56.895, 21.831678, 22.08828, 18.488468
6/14/2013 21:25:56.928, 21.86733, 22.017204, 18.509525
6/14/2013 21:25:56.962, 21.88442, 21.926773, 18.507729
6/14/2013 21:25:56.995, 21.940893, 21.933167, 18.50157
6/14/2013 21:25:56.28, 21.953728, 21.875916, 18.549109
6/14/2013 21:25:56.61, 22.114803, 21.889584, 18.634045
6/14/2013 21:25:56.94, 22.135773, 21.832685, 18.722382
6/14/2013 21:25:56.128, 22.179153, 21.779156, 18.759357
6/14/2013 21:25:57.161, 22.08833, 21.769112, 18.84771
6/14/2013 21:25:57.196, 22.175415, 21.685032, 18.90144
6/14/2013 21:25:57.228, 22.167528, 21.602846, 18.922968
6/14/2013 21:25:57.261, 22.082474, 21.549007, 18.971676
6/14/2013 21:25:57.295, 22.051958, 21.475063, 19.068415
6/14/2013 21:25:57.328, 22.083746, 21.47187, 19.102848
